start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,,,config file number,,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-27-2022_13-37-40,09-27-2022_13-39-36,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound,run/randomized,config/config,21,ini,,-9,76,4.48241206,892,-4,18,12.28643216,2445,16.76884422,0.268666667,0.834666667,32.1884984,6.52088439,1.014748099,3.098351748,9.295055245,2.336874362,0,0.778958121,2.336874362,3,3,0,100,131,8,45,0,5,9,1,3,-5,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-42-39,09-27-2022_13-44-40,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound,run/randomized,config/config,22,ini,,-9,36,10.56281407,2102,-37,17,-1.874371859,-373,8.688442211,0.238952381,0.817714286,29.22198928,5.912805115,0,1.83491383,27.52370746,11.97048187,0,2.744970067,41.174551,21,15,6,71.42857143,22,81,33,6,14,9,10,11,-2,3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-20-05,09-27-2022_14-22-04,WEAKENING - PRIORITY - RUNAWAY,3,experiments/config/bound,run/randomized,config/config,23,ini,,-8,74,13.11557789,2610,-18,17,4.462311558,888,17.57788945,0.45125,1.028,43.8959144,2.804580635,0.067506429,1.465503563,5.86201425,4.435084181,0,1.817497545,7.26999018,4,4,0,100,40,30,28,2,11,9,2,3,-15,-2,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_01-57-25,09-26-2022_01-59-31,WEAKENING - PRIORITY - RUNAWAY,4,experiments/config/bound,run/randomized,config/config,24,ini,,-9,50,3.130653266,623,-22,16,-1.48241206,-295,1.648241206,0.2507,0.82495,30.38972059,6.054908373,0,2.389048724,59.72621809,14.60095225,0,3.633314968,90.83287421,40,25,15,62.5,55,60,16,2,10,9,5,8,7,-20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-38-08,09-27-2022_14-40-08,WEAKENING - PRIORITY - RUNAWAY,5,experiments/config/bound,run/randomized,config/config,25,ini,,-9,41,7.381909548,1469,-15,17,1.914572864,381,9.296482412,0.295928571,0.868928571,34.0567201,2.949293623,0,1.418699713,14.18699713,4.544729288,0,0.880089106,8.800891058,14,10,4,71.42857143,43,66,38,6,13,9,8,10,6,-18,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-37-16,09-27-2022_15-39-19,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound,run/randomized,config/config,26,ini,,-10,49,3.552763819,707,-19,16,1.683417085,335,5.236180904,0.334782609,0.905434783,36.97478992,6.305667342,0,2.634475738,42.15161181,9.538344753,0,1.428648878,22.85838204,23,16,7,69.56521739,49,47,43,3,10,9,3,8,-5,-13,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-42-23,09-27-2022_15-44-29,WEAKENING - PRIORITY - BOUNDARY,7,experiments/config/bound,run/randomized,config/config,27,ini,,-9,57,3.879396985,772,-23,14,0.693467337,138,4.572864322,0.365103448,0.932241379,39.16404661,6.228453656,0,3.062482204,73.49957289,15.30588049,0,5.258116083,126.194786,29,24,5,82.75862069,55,44,11,3,7,9,4,6,20,-9,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-47-42,09-27-2022_15-49-43,WEAKENING - PRIORITY - BOUNDARY,8,experiments/config/bound,run/randomized,config/config,28,ini,,-9,44,4.673366834,930,-17,17,2.869346734,571,7.542713568,0.314352941,0.885764706,35.48944083,6.90607672,0.47322842,2.980354351,41.72496091,12.91219853,0,4.007401622,56.10362271,17,14,3,82.35294118,55,46,34,5,8,9,6,7,-7,17,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-52-28,09-27-2022_15-54-27,WEAKENING - PRIORITY - BOUNDARY,9,experiments/config/bound,run/randomized,config/config,29,ini,,-9,39,6.095477387,1213,-21,16,0.688442211,137,6.783919598,0.3155,0.885357143,35.63533683,3.891997942,0,1.220847143,15.87101286,12.44308725,0,3.437450726,44.68685943,14,13,1,92.85714286,36,74,38,4,14,9,9,11,0,-19,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_16-10-01,09-27-2022_16-12-04,WEAKENING - PRIORITY - BOUNDARY,0,experiments/config/bound,run/randomized,config/config,30,ini,,-10,37,11.94472362,2377,-24,17,-1.286432161,-256,10.65829146,0.310947368,0.887421053,35.03944013,5.134527784,0,1.702602281,27.2416365,8.659043968,0,2.36146101,37.78337616,19,16,3,84.21052632,9,87,30,10,14,9,11,12,-15,14,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
