start_time,finish_time,experiment_item,method_boolean,method,feature_boolean,feature,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,cumulative_robustness_sum,average_robustness_sum,min_robustness_sum,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-26-2022_07-46-25,09-26-2022_07-48-22,PRIORITY - RUNAWAY,FALSE,priority,TRUE,runaway,4,experiments/config/bound_run/randomized_config/config_74.ini,,-9,50,6.155778894,1225,-35,17,-5.487437186,-1092,NaN,NaN,NaN,-99999,99999,NaN,0,133,0.668341708,-35,-99999,99999,NaN,0,0,0,0,0,61,76,13,4,10,9,5,8,7,-20,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_07-51-08,09-26-2022_07-53-05,PRIORITY - RUNAWAY,FALSE,priority,TRUE,runaway,5,experiments/config/bound_run/randomized_config/config_75.ini,,-9,41,8.391959799,1670,-14,17,1.286432161,256,NaN,NaN,NaN,-99999,99999,NaN,0,1926,9.67839196,-14,-99999,99999,NaN,0,0,0,0,0,46,66,28,5,13,9,8,10,6,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_07-55-57,09-26-2022_07-57-54,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,6,experiments/config/bound_run/randomized_config/config_76.ini,,-10,50,3.884422111,773,-14,19,3.065326633,610,NaN,NaN,NaN,-99999,99999,NaN,0,1383,6.949748744,-14,-99999,99999,NaN,0,0,0,0,0,52,62,29,2,10,9,3,8,-5,-13,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-00-45,09-26-2022_08-02-43,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,7,experiments/config/bound_run/randomized_config/config_77.ini,,-9,57,3.477386935,692,-8,18,4.145728643,825,NaN,NaN,NaN,-99999,99999,NaN,0,1517,7.623115578,-9,-99999,99999,NaN,0,0,0,0,0,68,51,29,2,7,9,4,6,20,-9,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-13-19,09-26-2022_08-15-16,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,9,experiments/config/bound_run/randomized_config/config_79.ini,,-9,38,11.01507538,2192,-9,17,2.27638191,453,NaN,NaN,NaN,-99999,99999,NaN,0,2645,13.29145729,-9,-99999,99999,NaN,0,0,0,0,0,32,76,24,9,14,9,9,11,0,-19,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-25-48,09-26-2022_08-27-45,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,1,experiments/config/bound_run/randomized_config/config_81.ini,,-9,52,6.030150754,1200,-15,18,3.477386935,692,NaN,NaN,NaN,-99999,99999,NaN,0,1892,9.507537689,-15,-99999,99999,NaN,0,0,0,0,0,45,52,22,5,13,9,3,5,-1,5,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-46-06,09-26-2022_08-48-02,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,4,experiments/config/bound_run/randomized_config/config_84.ini,,-8,61,8.010050251,1594,-12,18,5.195979899,1034,NaN,NaN,NaN,-99999,99999,NaN,0,2628,13.20603015,-12,-99999,99999,NaN,0,0,0,0,0,49,39,20,1,14,9,2,4,3,0,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_09-06-23,09-26-2022_09-08-19,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,7,experiments/config/bound_run/randomized_config/config_87.ini,,-10,32,6.211055276,1236,-12,15,3.055276382,608,NaN,NaN,NaN,-99999,99999,NaN,0,1844,9.266331658,-12,-99999,99999,NaN,0,0,0,0,0,33,60,24,7,12,9,6,11,13,-4,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_09-11-06,09-26-2022_09-13-04,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,8,experiments/config/bound_run/randomized_config/config_88.ini,,-10,52,2.984924623,594,-10,18,5.24120603,1043,NaN,NaN,NaN,-99999,99999,NaN,0,1637,8.226130653,-10,-99999,99999,NaN,0,0,0,0,0,72,41,30,2,9,9,3,7,9,-12,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_09-15-56,09-26-2022_09-17-53,PRIORITY - BOUNDARY,FALSE,priority,FALSE,boundary,9,experiments/config/bound_run/randomized_config/config_89.ini,,-9,71,5.346733668,1064,-6,18,4.959798995,987,NaN,NaN,NaN,-99999,99999,NaN,0,2051,10.30653266,-9,-99999,99999,NaN,0,0,0,0,0,63,42,23,3,8,9,3,4,10,-14,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
