start_time,finish_time,experiment_item,weak,method,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_average_robustness_minus5,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,average_robustness_sum_minus5,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-29-2022_03-37-09,09-29-2022_03-39-06,PRIORITY - RUNAWAY,FALSE,priority,7,experiments/config/bound_run/randomized_config_starting_position_only/config_67.ini,,-10,52,5.427135678,0.427135678,1080,-23,18,0.849246231,169,6.276381909,1.276381909,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,72,38,28,3,9,9,3,5,3,7,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_06-26-35,09-29-2022_06-28-30,PRIORITY - RUNAWAY,FALSE,priority,0,experiments/config/bound_run/randomized_config_starting_position_only/config_100.ini,,-8,79,8.120603015,3.120603015,1616,-34,19,-2.125628141,-423,5.994974874,0.994974874,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,67,59,30,1,9,9,3,5,-19,-11,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_03-53-05,09-29-2022_03-55-01,PRIORITY - RUNAWAY,FALSE,priority,0,experiments/config/bound_run/randomized_config_starting_position_only/config_70.ini,,-9,67,5.532663317,0.532663317,1101,-24,13,1.206030151,240,6.738693468,1.738693468,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,70,52,32,1,9,9,3,5,12,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-38-35,09-29-2022_04-40-32,PRIORITY - BOUNDARY,FALSE,priority,8,experiments/config/bound_run/randomized_config_starting_position_only/config_78.ini,,-9,63,5.497487437,0.497487437,1094,-13,18,4.477386935,891,9.974874372,4.974874372,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,43,33,2,9,9,3,5,-4,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-48-35,09-29-2022_04-50-31,PRIORITY - BOUNDARY,FALSE,priority,0,experiments/config/bound_run/randomized_config_starting_position_only/config_80.ini,,-9,66,6.653266332,1.653266332,1324,-10,19,6.306532663,1255,12.959799,7.959798995,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,54,34,33,2,9,9,3,5,-14,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-52-39,09-29-2022_04-54-35,PRIORITY - BOUNDARY,FALSE,priority,1,experiments/config/bound_run/randomized_config_starting_position_only/config_81.ini,,-9,52,5.949748744,0.949748744,1184,-12,18,5.492462312,1093,11.44221106,6.442211056,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,54,44,31,2,9,9,3,5,-5,10,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-56-43,09-29-2022_04-58-40,PRIORITY - BOUNDARY,FALSE,priority,2,experiments/config/bound_run/randomized_config_starting_position_only/config_82.ini,,-10,64,5.572864322,0.572864322,1109,-11,18,5.211055276,1037,10.7839196,5.783919598,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,44,29,2,9,9,3,5,3,-12,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_05-00-46,09-29-2022_05-02-43,PRIORITY - BOUNDARY,FALSE,priority,3,experiments/config/bound_run/randomized_config_starting_position_only/config_83.ini,,-9,52,5.909547739,0.909547739,1176,-9,19,4.773869347,950,10.68341709,5.683417086,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,50,41,32,3,9,9,3,5,14,8,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_05-04-51,09-29-2022_05-06-47,PRIORITY - BOUNDARY,FALSE,priority,4,experiments/config/bound_run/randomized_config_starting_position_only/config_84.ini,,-8,56,4.763819095,-0.236180905,948,-11,18,4.216080402,839,8.979899497,3.979899497,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,66,48,32,1,9,9,3,5,2,0,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_05-08-54,09-29-2022_05-10-51,PRIORITY - BOUNDARY,FALSE,priority,5,experiments/config/bound_run/randomized_config_starting_position_only/config_85.ini,,-9,53,5.08040201,0.08040201,1011,-12,18,4.386934673,873,9.467336683,4.467336683,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,59,45,32,2,9,9,3,5,-12,9,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_05-18-53,09-29-2022_05-20-48,PRIORITY - BOUNDARY,FALSE,priority,7,experiments/config/bound_run/randomized_config_starting_position_only/config_87.ini,,-9,56,5.185929648,0.185929648,1032,-13,18,3.231155779,643,8.417085427,3.417085427,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,51,60,30,1,9,9,3,5,-6,-2,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
